,Unnamed: 0,Parcel ID,Address,County,State,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood,lat,long
112,112,08065 000348,5126 WATCHMANS CV,Hall County,Georgia,2/15/2022,"$452,380.00 ",0.16,Residential,2021,2826,$160.08 ,08065 Stephens Point,34.242058,-83.9097174
113,113,08075 002003A,5412 BARBERRY AVE,Hall County,Georgia,2/15/2022,"$323,990.00 ",0.14,Residential,2021,2228,$145.42 ,08075 Prescott,34.219816,-83.9078552
114,114,10068 000137,3447 DOCKSIDE SHORES DR,Hall County,Georgia,2/14/2022,"$529,671.00 ",0.81,Residential,2021,3375,$156.94 ,L47019 - THE SHORES AT LYNNCLIFF COVE,34.3077459,-83.9015145
115,115,10079 002031,4104 BELVEDERE CIR,Hall County,Georgia,2/14/2022,"$285,000.00 ",0.49,Residential,2020,1296,$219.91 ,01730 Belvedere,34.3797619,-83.8905957
116,116,15042 000548,7049 BRANCH CREEK CV,Hall County,Georgia,2/14/2022,"$467,601.00 ",0.18,Residential,2021,3169,$147.55 ,05662 Lancaster,34.0110911,-83.9840376
117,117,08065 000292,5155 WATCHMANS CV,Hall County,Georgia,2/11/2022,"$391,050.00 ",0.19,Residential,2021,1937,$201.88 ,08065 Stephens Point,34.2424565,-83.9106582
118,118,10011 000100,6211 EAGLE CT,Hall County,Georgia,2/11/2022,"$520,000.00 ",0.34,Residential,2021,1969,$264.09 ,Area 4-Lake-Back Cove (dockable),34.390061,-83.974534
119,119,15042 000696,6825 BENJAMIN DR,Hall County,Georgia,2/11/2022,"$365,075.00 ",0.18,Residential,2021,2527,$144.47 ,05661 Cambridge,34.1420259,-83.8885259
120,120,15042 000462,7051 LANCASTER XING,Hall County,Georgia,2/11/2022,"$486,286.00 ",0.23,Residential,2021,2740,$177.48 ,05662 Lancaster,34.1388569,-83.8922992
121,121,09101A000081,3908 PINE SHORE CIR,Hall County,Georgia,2/11/2022,"$259,900.00 ",0.31,Residential,2021,1008,$257.84 ,L17001 Surfside Club Estates,34.3724961,-83.7500218
122,122,08051 001245,3655 ACORN DR,Hall County,Georgia,2/11/2022,"$282,900.00 ",0.05,Residential,2021,1576,$179.51 ,08128 The Reserve at Oak Station,34.2242399,-83.8793765
123,123,08065 000352,5110 WATCHMANS CV,Hall County,Georgia,2/10/2022,"$436,020.00 ",0.16,Residential,2021,2826,$154.29 ,08065 Stephens Point,34.2415657,-83.9093864
124,124,15042 000624,6863 KATE LN,Hall County,Georgia,2/10/2022,"$371,312.00 ",0.27,Residential,2021,2732,$135.91 ,05661 Cambridge,34.1422261,-83.8872045
125,125,08065 000346,5134 WATCHMANS CV,Hall County,Georgia,2/10/2022,"$435,660.00 ",0.16,Residential,2021,2744,$158.77 ,08065 Stephens Point,34.2423257,-83.909883
126,126,08099 000092,5106 PARK HAVEN DR,Hall County,Georgia,2/10/2022,"$425,000.00 ",0.2,Residential,2020,2702,$157.29 ,08041 Park Heaven,34.1969572,-83.9207242
127,127,15042 000623,6867 KATE LN,Hall County,Georgia,2/9/2022,"$421,860.00 ",0.27,Residential,2021,3539,$119.20 ,05661 Cambridge,34.1423628,-83.8873774
128,128,08065 000354,5102 WATCHMANS CV,Hall County,Georgia,2/9/2022,"$435,540.00 ",0.16,Residential,2021,2744,$158.72 ,08065 Stephens Point,34.2413412,-83.9092208
129,129,08065 000349,5122 WATCHMANS CV,Hall County,Georgia,2/9/2022,"$410,140.00 ",0.16,Residential,2021,2159,$189.97 ,08065 Stephens Point,34.2419673,-83.9096347
130,130,08051 001243,3663 ACORN DR,Hall County,Georgia,2/8/2022,"$275,900.00 ",0.05,Residential,2021,1576,$175.06 ,08128 The Reserve at Oak Station,34.2241595,-83.8795007
131,131,15047 001192,7012 FLAGSTONE WAY,Hall County,Georgia,2/8/2022,"$508,857.00 ",0.22,Residential,2021,1445,$352.15 ,05037F STERLING FLAGSTONE,34.1462622,-83.8979637
132,132,15048 001163,3456 HIGH SHOALS,Hall County,Georgia,2/4/2022,"$445,000.00 ",0.24,Residential,2021,2108,$211.10 ,05934 Trinity Falls,34.1135021,-83.907193
133,133,15048 001163,3456 HIGH SHOALS,Hall County,Georgia,2/7/2022,"$445,000.00 ",0.24,Residential,2021,2108,$211.10 ,05934 Trinity Falls,34.1135021,-83.907193
134,134,12007 000039,5610 ALLINGTON CT,Hall County,Georgia,2/7/2022,"$499,000.00 ",0.81,Residential,2021,2725,$183.12 ,03037 AVALON HILLS S/D,34.4515664,-83.8220894
135,135,10162 000195,3241 HIDDEN VALLEY RD,Hall County,Georgia,2/7/2022,"$24,000.00 ",1.04,Residential,2022,1568,$0.00 ,L47056 Clarks Bridge Country,34.372109,-83.776009
136,136,08051 001242,3667 ACORN DR,Hall County,Georgia,2/4/2022,"$264,900.00 ",0.04,Residential,2021,1544,$171.57 ,08128 The Reserve at Oak Station,34.2241636,-83.8795835
137,137,10030 001031,5439 STEPSTONE WAY,Hall County,Georgia,2/4/2022,"$294,900.00 ",0.59,Residential,2021,1817,$162.30 ,01029 Lawsons Cove,34.24865795,-83.83906545
138,138,09079B000020,6342 WOODLAND STATION DR,Hall County,Georgia,2/4/2022,"$303,750.00 ",0.5,Residential,2021,2064,$147.17 ,07073 MAGNOLIA STATION,34.4078026,-83.6930159
139,139,15029B000229,4864 RIVER BOTTOM DR,Hall County,Georgia,2/4/2022,"$445,764.00 ",1.05,Residential,2021,3080,$144.73 ,05034 GEORGIAN ACRES,34.1856801,-83.808495
140,140,10030 001044,5456 OLD LANTERN WAY,Hall County,Georgia,2/2/2022,"$290,900.00 ",1.77,Residential,2021,1284,$226.56 ,01029 Lawsons Cove,34.2819518,-83.9052263
141,141,01084 001038,2739 NE LIMESTONE CREEK DR,Hall County,Georgia,2/1/2022,"$429,500.00 ",0.2,Residential,2021,2136,$201.08 ,00039A GATES @ LIMESTONE NEW CONSTRUCTION,34.3251778,-83.8083707
142,142,08100 001162,5986 PARK BAY CT,Hall County,Georgia,2/1/2022,"$245,819.00 ",0.19,Residential,2021,2851,$86.22 ,08105 PARK WALK AT LANIER,34.2134154,-83.9259864
143,143,15029B000069,4985 LITTLE FOX TRL,Hall County,Georgia,2/1/2022,"$492,791.00 ",1.15,Residential,2021,3581,$137.61 ,05034 GEORGIAN ACRES,34.180829,-83.8058421
144,144,15042 000649,6956 MANCHESTER DR,Hall County,Georgia,1/31/2022,"$443,815.00 ",0.17,Residential,2021,3500,$126.80 ,05661 Cambridge,34.1430981,-83.8891882
145,145,10030 001041,5459 OLD LANTERN WAY,Hall County,Georgia,1/31/2022,"$290,900.00 ",1.33,Residential,2021,1284,$226.56 ,01029 Lawsons Cove,34.2819518,-83.9052263
146,146,08024 006183,4417 SW CHESTNUT OAK WAY,Hall County,Georgia,1/31/2022,"$443,127.00 ",0.17,Residential,2021,3236,$136.94 ,08018B White Oak Park @ MM,34.2528513,-83.8682685
